trade_date,label,source
2009-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2009-02-23,Carnaval,ANBIMA_feriados_nacionais_xls
2009-02-24,Carnaval,ANBIMA_feriados_nacionais_xls
2009-04-10,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2009-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2009-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2009-06-11,Corpus Christi,ANBIMA_feriados_nacionais_xls
2009-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2009-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2009-11-02,Finados,ANBIMA_feriados_nacionais_xls
2009-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2009-12-25,Natal,ANBIMA_feriados_nacionais_xls
2010-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2010-02-15,Carnaval,ANBIMA_feriados_nacionais_xls
2010-02-16,Carnaval,ANBIMA_feriados_nacionais_xls
2010-04-02,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2010-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2010-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2010-06-03,Corpus Christi,ANBIMA_feriados_nacionais_xls
2010-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2010-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2010-11-02,Finados,ANBIMA_feriados_nacionais_xls
2010-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2010-12-25,Natal,ANBIMA_feriados_nacionais_xls
2011-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2011-03-07,Carnaval,ANBIMA_feriados_nacionais_xls
2011-03-08,Carnaval,ANBIMA_feriados_nacionais_xls
2011-04-21,Tiradentes,ANBIMA_feriados_nacionais_xls
2011-04-22,Paixão de Cristo,ANBIMA_feriados_nacionais_xls
2011-05-01,Dia do Trabalho,ANBIMA_feriados_nacionais_xls
2011-06-23,Corpus Christi,ANBIMA_feriados_nacionais_xls
2011-09-07,Independência do Brasil,ANBIMA_feriados_nacionais_xls
2011-10-12,Nossa Sr.a Aparecida - Padroeira do Brasil,ANBIMA_feriados_nacionais_xls
2011-11-02,Finados,ANBIMA_feriados_nacionais_xls
2011-11-15,Proclamação da República,ANBIMA_feriados_nacionais_xls
2011-12-25,Natal,ANBIMA_feriados_nacionais_xls
2012-01-01,Confraternização Universal,ANBIMA_feriados_nacionais_xls
2012-02-20,Carnaval,ANBIMA_feriados_nacionais_xls
2012-02-21,Carnaval,ANBIMA_feriados_nacionais_xls
