start_date,end_date,continuous_open,continuous_close,auction_close,component
2009-01-01,2016-10-14,10:00:00,16:55:00,17:00:00,dated_regime_17h
2016-10-17,2017-03-10,10:00:00,17:55:00,18:00:00,dated_regime_18h
2017-03-13,2017-11-03,10:00:00,16:55:00,17:00:00,dated_regime_17h
2017-11-06,2018-03-09,10:00:00,17:55:00,18:00:00,dated_regime_18h
2018-03-12,2018-11-02,10:00:00,16:55:00,17:00:00,dated_regime_17h
2018-11-05,2019-03-08,10:00:00,17:55:00,18:00:00,dated_regime_18h
2019-03-11,2019-11-01,10:00:00,16:55:00,17:00:00,dated_regime_17h
2019-11-04,2020-03-06,10:00:00,17:55:00,18:00:00,dated_regime_18h
2020-03-09,2020-10-30,10:00:00,16:55:00,17:00:00,dated_regime_17h
2020-11-03,2021-03-12,10:00:00,17:55:00,18:00:00,dated_regime_18h
2021-03-15,2021-11-05,10:00:00,16:55:00,17:00:00,dated_regime_17h
2021-11-08,2022-03-11,10:00:00,17:55:00,18:00:00,dated_regime_18h
2022-03-14,2022-11-04,10:00:00,16:55:00,17:00:00,dated_regime_17h
2022-11-07,2023-03-10,10:00:00,17:55:00,18:00:00,dated_regime_18h
2023-03-13,2023-11-03,10:00:00,16:55:00,17:00:00,dated_regime_17h
2023-11-06,2024-03-08,10:00:00,17:55:00,18:00:00,dated_regime_18h
2024-03-11,2024-11-01,10:00:00,16:55:00,17:00:00,dated_regime_17h
2024-11-04,2025-03-07,10:00:00,17:55:00,18:00:00,dated_regime_18h
2025-03-10,2025-10-31,10:00:00,16:55:00,17:00:00,dated_regime_17h
2025-11-03,2026-03-06,10:00:00,17:55:00,18:00:00,dated_regime_18h
2026-03-09,2026-12-31,10:00:00,16:55:00,17:00:00,dated_regime_17h
