trade_date,status,reason,evidence
2009-07-09,weekday_nonholiday_without_archive_session,Sao Paulo state holiday,exchange location holiday; absent from complete annual COTAHIST
2009-11-20,weekday_nonholiday_without_archive_session,Sao Paulo exchange holiday before national-list coverage,exchange location holiday; absent from complete annual COTAHIST
2009-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2009-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2010-01-25,weekday_nonholiday_without_archive_session,Sao Paulo municipal holiday,exchange location holiday; absent from complete annual COTAHIST
2010-07-09,weekday_nonholiday_without_archive_session,Sao Paulo state holiday,exchange location holiday; absent from complete annual COTAHIST
2010-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2010-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2011-01-25,weekday_nonholiday_without_archive_session,Sao Paulo municipal holiday,exchange location holiday; absent from complete annual COTAHIST
2011-12-30,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2012-01-25,weekday_nonholiday_without_archive_session,Sao Paulo municipal holiday,exchange location holiday; absent from complete annual COTAHIST
2012-07-09,weekday_nonholiday_without_archive_session,Sao Paulo state holiday,exchange location holiday; absent from complete annual COTAHIST
2012-11-20,weekday_nonholiday_without_archive_session,Sao Paulo exchange holiday before national-list coverage,exchange location holiday; absent from complete annual COTAHIST
2012-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2012-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2013-01-25,weekday_nonholiday_without_archive_session,Sao Paulo municipal holiday,exchange location holiday; absent from complete annual COTAHIST
2013-07-09,weekday_nonholiday_without_archive_session,Sao Paulo state holiday,exchange location holiday; absent from complete annual COTAHIST
2013-11-20,weekday_nonholiday_without_archive_session,Sao Paulo exchange holiday before national-list coverage,exchange location holiday; absent from complete annual COTAHIST
2013-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2013-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2014-06-12,weekday_nonholiday_without_archive_session,2014 FIFA World Cup opening-match exchange closure,one-off B3 closure; absent from complete annual COTAHIST
2014-07-09,weekday_nonholiday_without_archive_session,Sao Paulo state holiday,exchange location holiday; absent from complete annual COTAHIST
2014-11-20,weekday_nonholiday_without_archive_session,Sao Paulo exchange holiday before national-list coverage,exchange location holiday; absent from complete annual COTAHIST
2014-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2014-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2015-07-09,weekday_nonholiday_without_archive_session,Sao Paulo state holiday,exchange location holiday; absent from complete annual COTAHIST
2015-11-20,weekday_nonholiday_without_archive_session,Sao Paulo exchange holiday before national-list coverage,exchange location holiday; absent from complete annual COTAHIST
2015-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2015-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2016-01-25,weekday_nonholiday_without_archive_session,Sao Paulo municipal holiday,exchange location holiday; absent from complete annual COTAHIST
2016-12-30,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2017-01-25,weekday_nonholiday_without_archive_session,Sao Paulo municipal holiday,exchange location holiday; absent from complete annual COTAHIST
2017-11-20,weekday_nonholiday_without_archive_session,Sao Paulo exchange holiday before national-list coverage,exchange location holiday; absent from complete annual COTAHIST
2017-12-29,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2018-01-25,weekday_nonholiday_without_archive_session,Sao Paulo municipal holiday,exchange location holiday; absent from complete annual COTAHIST
2018-07-09,weekday_nonholiday_without_archive_session,Sao Paulo state holiday,exchange location holiday; absent from complete annual COTAHIST
2018-11-20,weekday_nonholiday_without_archive_session,Sao Paulo exchange holiday before national-list coverage,exchange location holiday; absent from complete annual COTAHIST
2018-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2018-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2019-01-25,weekday_nonholiday_without_archive_session,Sao Paulo municipal holiday,exchange location holiday; absent from complete annual COTAHIST
2019-07-09,weekday_nonholiday_without_archive_session,Sao Paulo state holiday,exchange location holiday; absent from complete annual COTAHIST
2019-11-20,weekday_nonholiday_without_archive_session,Sao Paulo exchange holiday before national-list coverage,exchange location holiday; absent from complete annual COTAHIST
2019-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2019-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2020-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2020-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2021-01-25,weekday_nonholiday_without_archive_session,Sao Paulo municipal holiday,exchange location holiday; absent from complete annual COTAHIST
2021-07-09,weekday_nonholiday_without_archive_session,Sao Paulo state holiday,exchange location holiday; absent from complete annual COTAHIST
2021-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2021-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2022-12-30,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2023-12-29,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2024-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2024-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2025-12-24,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
2025-12-31,weekday_nonholiday_without_archive_session,B3 year-end or Christmas-eve closure,exchange-specific year-end closure; absent from complete annual COTAHIST
